National Database Number,Common Name,Species,State,Observation Date,Length,Latitude,Longitude,
SW-2014-1185141,"Whale, gray",robustus,CA,2014-10-29,0,40.940248,-124.131799,
SW-2014-1187279,"Whale, gray",robustus,CA,2014-04-17,400,,,
SW-2014-1187327,"Whale, humpback",novaeangliae,CA,2014-06-13,1256,36.84322,-121.80572,
SW-2014-1187415,"Whale, gray",robustus,CA,2014-12-24,40,37.0041,-122.1859,
SW-2014-1190750,"Whale, humpback",novaeangliae,CA,2014-06-28,1082,35.29277,-120.88083,
SW-2015-1171027,"Whale, humpback",novaeangliae,CA,2015-02-22,850,32.665229,-117.241719,
SW-2015-1171567,"Whale, gray",robustus,CA,2015-03-19,810,32.893139,-117.267884,
SW-2015-1172260,"Whale, gray",robustus,CA,2015-04-24,752,36.87294,-121.82424,
SW-2015-1172600,"Whale, fin",physalus,CA,2015-04-10,1714,33.75905,-118.26102,
SW-2015-1173929,"Whale, gray",robustus,CA,2015-01-28,1295,34.5208,-120.50973,
SW-2015-1174026,"Whale, gray",robustus,CA,2015-06-15,1,35.3751,-120.8619,
SW-2015-1175592,"Whale, humpback",novaeangliae,CA,2015-03-09,914,37.411998,-122.430174,
SW-2015-1175712,"Whale, sperm",macrocephalus,CA,2015-04-14,1483,37.6211,-122.497,
SW-2015-1176438,"Whale, humpback",novaeangliae,CA,2015-09-17,240,36.622878,-121.907986,
SW-2015-1177653,"Whale, humpback",novaeangliae,CA,2015-03-06,833,36.8827,-121.83,
SW-2015-1177673,"Whale, gray",robustus,CA,2015-04-22,1219,37.103723,-122.2876,
SW-2015-1177674,"Whale, gray",robustus,CA,2015-04-22,710,36.873908,-121.824454,
SW-2015-1177754,"Whale, humpback",novaeangliae,CA,2015-05-04,1372,37.625064,-122.495377,
SW-2015-1177764,"Whale, gray",robustus,CA,2015-05-06,365,36.97281,-121.91615,
SW-2015-1177780,"Whale, gray",robustus,CA,2015-05-15,700,37.883753,-122.628456,
SW-2015-1177811,"Whale, gray",robustus,CA,2015-05-18,1167,37.462521,-122.446074,
SW-2015-1177815,"Whale, gray",robustus,CA,2015-05-19,955,39.414132,-123.814837,
SW-2015-1177818,"Whale, gray",robustus,CA,2015-05-21,500,38.4638,-123.1575,
SW-2015-1177824,"Whale, gray",robustus,CA,2015-05-23,850,38.378425,-123.081463,
SW-2015-1177834,"Whale, gray",robustus,CA,2015-05-26,550,38.025,-122.999722,
SW-2015-1178656,"Whale, fin",physalus,CA,2015-08-24,159,37.79122,-122.2768,
SW-2015-1178668,"Whale, humpback",novaeangliae,CA,2015-08-02,1177,37.65079,-122.49366,
SW-2015-1179271,"Whale, sei",borealis,CA,2015-08-12,1375,33.76425,-118.25645,
SW-2015-1179932,"Whale, humpback",novaeangliae,CA,2015-10-21,1240,36.81048,-121.79026,
